,state,county,state_name,county_name,estimate_population
1283,6,53,California,Monterey County,436251
1289,6,55,California,Napa County,132727
1295,6,57,California,Nevada County,102195
1301,6,59,California,Orange County,3170435
1307,6,61,California,Placer County,433822
1313,6,63,California,Plumas County,18834
1319,6,65,California,Riverside County,2529933
1325,6,67,California,Sacramento County,1611231
1331,6,69,California,San Benito County,69159
1337,6,71,California,San Bernardino County,2214281
1343,6,73,California,San Diego County,3298799
1349,6,75,California,San Francisco County,827526
1355,6,77,California,San Joaquin County,816108
1361,6,79,California,San Luis Obispo County,281843
1367,6,81,California,San Mateo County,742893
1373,6,83,California,Santa Barbara County,444500
1379,6,85,California,Santa Clara County,1926325
1385,6,87,California,Santa Cruz County,262406
1391,6,89,California,Shasta County,181121
1397,6,91,California,Sierra County,3113
1403,6,93,California,Siskiyou County,42498
1409,6,95,California,Solano County,455101
1415,6,97,California,Sonoma County,485375
1421,6,99,California,Stanislaus County,556972
1427,6,101,California,Sutter County,98545
1433,6,103,California,Tehama County,64451
1439,6,105,California,Trinity County,15642
1445,6,107,California,Tulare County,483546
1451,6,109,California,Tuolumne County,53893
1457,6,111,California,Ventura County,835427
1463,6,113,California,Yolo County,225251
1469,6,115,California,Yuba County,87469
1475,8,1,Colorado,Adams County,542973
1481,8,3,Colorado,Alamosa County,16689
1487,8,5,Colorado,Arapahoe County,666918
1493,8,7,Colorado,Archuleta County,14112
1499,8,9,Colorado,Baca County,3367
1505,8,11,Colorado,Bent County,5779
1511,8,13,Colorado,Boulder County,330262
1517,8,14,Colorado,Broomfield County,78323
1523,8,15,Colorado,Chaffee County,20780
1529,8,17,Colorado,Cheyenne County,1712
1535,8,19,Colorado,Clear Creek County,9076
1541,8,21,Colorado,Conejos County,7549
1547,8,23,Colorado,Costilla County,3686
1553,8,25,Colorado,Crowley County,5600
1559,8,27,Colorado,Custer County,5553
1565,8,29,Colorado,Delta County,32215
1571,8,31,Colorado,Denver County,729019
1577,8,33,Colorado,Dolores County,2467
1583,8,35,Colorado,Douglas County,393995
1589,8,37,Colorado,Eagle County,54330
1595,8,39,Colorado,Elbert County,29382
1601,8,41,Colorado,El Paso County,752772
1607,8,43,Colorado,Fremont County,50093
1613,8,45,Colorado,Garfield County,63167
1619,8,47,Colorado,Gilpin County,5963
1625,8,49,Colorado,Grand County,16154
1631,8,51,Colorado,Gunnison County,17310
1637,8,53,Colorado,Hinsdale County,747
1643,8,55,Colorado,Huerfano County,6988
1649,8,57,Colorado,Jackson County,1273
1655,8,59,Colorado,Jefferson County,578533
1661,8,61,Colorado,Kiowa County,1392
1667,8,63,Colorado,Kit Carson County,7080
1673,8,65,Colorado,Lake County,7369
1679,8,67,Colorado,La Plata County,56823
1685,8,69,Colorado,Larimer County,374574
1691,8,71,Colorado,Las Animas County,14518
1697,8,73,Colorado,Lincoln County,5598
1703,8,75,Colorado,Logan County,20755
1709,8,77,Colorado,Mesa County,161260
1715,8,79,Colorado,Mineral County,933
1721,8,81,Colorado,Moffat County,13142
1727,8,83,Colorado,Montezuma County,26841
1733,8,85,Colorado,Montrose County,44806
1739,8,87,Colorado,Morgan County,30300
1745,8,89,Colorado,Otero County,17991
1751,8,91,Colorado,Ouray County,5197
1757,8,93,Colorado,Park County,18316
1763,8,95,Colorado,Phillips County,4488
1769,8,97,Colorado,Pitkin County,16643
1775,8,99,Colorado,Prowers County,11957
1781,8,101,Colorado,Pueblo County,169866
1787,8,103,Colorado,Rio Blanco County,6607
1793,8,105,Colorado,Rio Grande County,11132
1799,8,107,Colorado,Routt County,25243
1805,8,109,Colorado,Saguache County,6670
1811,8,111,Colorado,San Juan County,821
1817,8,113,Colorado,San Miguel County,7819
1823,8,115,Colorado,Sedgwick County,2257
1829,8,117,Colorado,Summit County,30882
1835,8,119,Colorado,Teller County,24862
1841,8,121,Colorado,Washington County,4771
1847,8,123,Colorado,Weld County,369745
1853,8,125,Colorado,Yuma County,10048
1859,9,110,Connecticut,Capitol Planning Region,991508
1865,9,120,Connecticut,Greater Bridgeport Planning Region,335666
1871,9,130,Connecticut,Lower Connecticut River Valley Planning Region,177540
1877,9,140,Connecticut,Naugatuck Valley Planning Region,462220
1883,9,150,Connecticut,Northeastern Connecticut Planning Region,97701
1889,9,160,Connecticut,Northwest Hills Planning Region,114101
1895,9,170,Connecticut,South Central Connecticut Planning Region,576718
1901,9,180,Connecticut,Southeastern Connecticut Planning Region,282602
1907,9,190,Connecticut,Western Connecticut Planning Region,637013
1913,10,1,Delaware,Kent County,192690
1919,10,3,Delaware,New Castle County,588093
1925,10,5,Delaware,Sussex County,271134
1931,11,1,District of Columbia,District of Columbia,702250
1937,12,1,Florida,Alachua County,291782
1943,12,3,Florida,Baker County,29325
1949,12,5,Florida,Bay County,199718
1955,12,7,Florida,Bradford County,28075
1961,12,9,Florida,Brevard County,658447
1967,12,11,Florida,Broward County,2037472
1973,12,13,Florida,Calhoun County,13278
1979,12,15,Florida,Charlotte County,212122
1985,12,17,Florida,Citrus County,170174
1991,12,19,Florida,Clay County,236760
1997,12,21,Florida,Collier County,416233
2003,12,23,Florida,Columbia County,73977
2009,12,27,Florida,DeSoto County,36744
2015,12,29,Florida,Dixie County,17614
2021,12,31,Florida,Duval County,1055159
2027,12,33,Florida,Escambia County,331275
2033,12,35,Florida,Flagler County,136744
2039,12,37,Florida,Franklin County,12979
2045,12,39,Florida,Gadsden County,44151
2051,12,41,Florida,Gilchrist County,20233
2057,12,43,Florida,Glades County,13132
2063,12,45,Florida,Gulf County,15876
2069,12,47,Florida,Hamilton County,14334
2075,12,49,Florida,Hardee County,26068
2081,12,51,Florida,Hendry County,46130
2087,12,53,Florida,Hernando County,218150
2093,12,55,Florida,Highlands County,109778
2099,12,57,Florida,Hillsborough County,1581426
2105,12,59,Florida,Holmes County,19876
2111,12,61,Florida,Indian River County,172139
2117,12,63,Florida,Jackson County,49980
2123,12,65,Florida,Jefferson County,15921
2129,12,67,Florida,Lafayette County,8640
2135,12,69,Florida,Lake County,444204
2141,12,71,Florida,Lee County,860959
2147,12,73,Florida,Leon County,300488
2153,12,75,Florida,Levy County,47765
2159,12,77,Florida,Liberty County,7955
2165,12,79,Florida,Madison County,18364
2171,12,81,Florida,Manatee County,458352
2177,12,83,Florida,Marion County,428905
2183,12,85,Florida,Martin County,165666
2189,12,86,Florida,Miami-Dade County,2838461
2195,12,87,Florida,Monroe County,80908
2201,12,89,Florida,Nassau County,104376
2207,12,91,Florida,Okaloosa County,220483
2213,12,93,Florida,Okeechobee County,42369
2219,12,95,Florida,Orange County,1533646
2225,12,97,Florida,Osceola County,468058
2231,12,99,Florida,Palm Beach County,1582055
2237,12,101,Florida,Pasco County,659114
2243,12,103,Florida,Pinellas County,965870
2249,12,105,Florida,Polk County,852878
2255,12,107,Florida,Putnam County,77301
2261,12,109,Florida,St. Johns County,334928
2267,12,111,Florida,St. Lucie County,390670
2273,12,113,Florida,Santa Rosa County,207653
2279,12,115,Florida,Sarasota County,476604
2285,12,117,Florida,Seminole County,494605
2291,12,119,Florida,Sumter County,154693
2297,12,121,Florida,Suwannee County,47536
2303,12,123,Florida,Taylor County,21843
2309,12,125,Florida,Union County,15738
2315,12,127,Florida,Volusia County,602772
2321,12,129,Florida,Wakulla County,37115
2327,12,131,Florida,Walton County,89666
2333,12,133,Florida,Washington County,26503
2339,13,1,Georgia,Appling County,18669
2345,13,3,Georgia,Atkinson County,8435
2351,13,5,Georgia,Bacon County,11045
2357,13,7,Georgia,Baker County,2732
2363,13,9,Georgia,Baldwin County,43644
2369,13,11,Georgia,Banks County,20318
2375,13,13,Georgia,Barrow County,96294
2381,13,15,Georgia,Bartow County,117508
2387,13,17,Georgia,Ben Hill County,16945
2393,13,19,Georgia,Berrien County,18666
2399,13,21,Georgia,Bibb County,157056
2405,13,23,Georgia,Bleckley County,12626
2411,13,25,Georgia,Brantley County,18795
2417,13,27,Georgia,Brooks County,16344
2423,13,29,Georgia,Bryan County,51105
2429,13,31,Georgia,Bulloch County,85454
2435,13,33,Georgia,Burke County,24472
2441,13,35,Georgia,Butts County,27127
2447,13,37,Georgia,Calhoun County,5441
2453,13,39,Georgia,Camden County,59099
2459,13,43,Georgia,Candler County,11130
2465,13,45,Georgia,Carroll County,129911
2471,13,47,Georgia,Catoosa County,68940
2477,13,49,Georgia,Charlton County,13021
2483,13,51,Georgia,Chatham County,307336
2489,13,53,Georgia,Chattahoochee County,8548
2495,13,55,Georgia,Chattooga County,25306
2501,13,57,Georgia,Cherokee County,293513
2507,13,59,Georgia,Clarke County,129995
2513,13,61,Georgia,Clay County,2815
2519,13,63,Georgia,Clayton County,297703
2525,13,65,Georgia,Clinch County,6871
2531,13,67,Georgia,Cobb County,787538
2537,13,69,Georgia,Coffee County,43851
2543,13,71,Georgia,Colquitt County,46977
2549,13,73,Georgia,Columbia County,167472
2555,13,75,Georgia,Cook County,17984
2561,13,77,Georgia,Coweta County,158233
2567,13,79,Georgia,Crawford County,12349
2573,13,81,Georgia,Crisp County,19468
2579,13,83,Georgia,Dade County,16068
2585,13,85,Georgia,Dawson County,33748
2591,13,87,Georgia,Decatur County,29391
2597,13,89,Georgia,DeKalb County,770307
2603,13,91,Georgia,Dodge County,19630
2609,13,93,Georgia,Dooly County,11186
2615,13,95,Georgia,Dougherty County,82418
2621,13,97,Georgia,Douglas County,151887
2627,13,99,Georgia,Early County,10444
2633,13,101,Georgia,Echols County,3698
2639,13,103,Georgia,Effingham County,73148
2645,13,105,Georgia,Elbert County,20152
2651,13,107,Georgia,Emanuel County,23224
2657,13,109,Georgia,Evans County,10869
2663,13,111,Georgia,Fannin County,25854
2669,13,113,Georgia,Fayette County,125107
2675,13,115,Georgia,Floyd County,101390
2681,13,117,Georgia,Forsyth County,280096
2687,13,119,Georgia,Franklin County,25208
2693,13,121,Georgia,Fulton County,1090354
2699,13,123,Georgia,Gilmer County,33327
2705,13,125,Georgia,Glascock County,3008
2711,13,127,Georgia,Glynn County,86540
2717,13,129,Georgia,Gordon County,60765
2723,13,131,Georgia,Grady County,26271
2729,13,133,Georgia,Greene County,21091
2735,13,135,Georgia,Gwinnett County,1003869
2741,13,137,Georgia,Habersham County,49665
2747,13,139,Georgia,Hall County,221745
2753,13,141,Georgia,Hancock County,8683
2759,13,143,Georgia,Haralson County,32404
2765,13,145,Georgia,Harris County,36929
2771,13,147,Georgia,Hart County,28052
2777,13,149,Georgia,Heard County,12119
2783,13,151,Georgia,Henry County,259315
2789,13,153,Georgia,Houston County,174897
2795,13,155,Georgia,Irwin County,9155
2801,13,157,Georgia,Jackson County,93825
2807,13,159,Georgia,Jasper County,17219
2813,13,161,Georgia,Jeff Davis County,15119
2819,13,163,Georgia,Jefferson County,15019
2825,13,165,Georgia,Jenkins County,8836
2831,13,167,Georgia,Johnson County,9178
2837,13,169,Georgia,Jones County,29047
2843,13,171,Georgia,Lamar County,20690
2849,13,173,Georgia,Lanier County,10464
2855,13,175,Georgia,Laurens County,50287
2861,13,177,Georgia,Lee County,34073
2867,13,179,Georgia,Liberty County,68607
2873,13,181,Georgia,Lincoln County,8049
2879,13,183,Georgia,Long County,20439
2885,13,185,Georgia,Lowndes County,122082
2891,13,187,Georgia,Lumpkin County,36016
2897,13,189,Georgia,McDuffie County,21764
2903,13,191,Georgia,McIntosh County,11800
2909,13,193,Georgia,Macon County,11831
2915,13,195,Georgia,Madison County,32771
2921,13,197,Georgia,Marion County,7635
2927,13,199,Georgia,Meriwether County,21439
2933,13,201,Georgia,Miller County,5824
2939,13,205,Georgia,Mitchell County,20329
2945,13,207,Georgia,Monroe County,31437
2951,13,209,Georgia,Montgomery County,8566
2957,13,211,Georgia,Morgan County,21940
2963,13,213,Georgia,Murray County,41316
2969,13,215,Georgia,Muscogee County,201830
2975,13,217,Georgia,Newton County,124010
2981,13,219,Georgia,Oconee County,44751
2987,13,221,Georgia,Oglethorpe County,16172
2993,13,223,Georgia,Paulding County,188549
2999,13,225,Georgia,Peach County,29213
3005,13,227,Georgia,Pickens County,36580
3011,13,229,Georgia,Pierce County,20669
3017,13,231,Georgia,Pike County,20669
3023,13,233,Georgia,Polk County,44610
3029,13,235,Georgia,Pulaski County,10180
3035,13,237,Georgia,Putnam County,23383
3041,13,239,Georgia,Quitman County,2323
3047,13,241,Georgia,Rabun County,17711
3053,13,243,Georgia,Randolph County,6085
3059,13,245,Georgia,Richmond County,206303
3065,13,247,Georgia,Rockdale County,97610
3071,13,249,Georgia,Schley County,4503
3077,13,251,Georgia,Screven County,14325
3083,13,253,Georgia,Seminole County,9274
3089,13,255,Georgia,Spalding County,70292
3095,13,257,Georgia,Stephens County,27498
3101,13,259,Georgia,Stewart County,4809
3107,13,261,Georgia,Sumter County,28972
3113,13,263,Georgia,Talbot County,5755
3119,13,265,Georgia,Taliaferro County,1620
3125,13,267,Georgia,Tattnall County,24275
3131,13,269,Georgia,Taylor County,7783
3137,13,271,Georgia,Telfair County,11000
3143,13,273,Georgia,Terrell County,8698
3149,13,275,Georgia,Thomas County,46054
3155,13,277,Georgia,Tift County,41708
3161,13,279,Georgia,Toombs County,27488
3167,13,281,Georgia,Towns County,13184
3173,13,283,Georgia,Treutlen County,6420
3179,13,285,Georgia,Troup County,71513
3185,13,287,Georgia,Turner County,9023
3191,13,289,Georgia,Twiggs County,7728
3197,13,291,Georgia,Union County,27601
3203,13,293,Georgia,Upson County,28358
3209,13,295,Georgia,Walker County,69340
3215,13,297,Georgia,Walton County,109792
3221,13,299,Georgia,Ware County,36222
3227,13,301,Georgia,Warren County,5148
3233,13,303,Georgia,Washington County,19834
3239,13,305,Georgia,Wayne County,32132
3245,13,307,Georgia,Webster County,2315
3251,13,309,Georgia,Wheeler County,7076
3257,13,311,Georgia,White County,29668
3263,13,313,Georgia,Whitfield County,105070
3269,13,315,Georgia,Wilcox County,8904
3275,13,317,Georgia,Wilkes County,9567
3281,13,319,Georgia,Wilkinson County,8667
3287,13,321,Georgia,Worth County,20262
3293,15,1,Hawaii,Hawaii County,209790
3299,15,3,Hawaii,Honolulu County,998747
3305,15,5,Hawaii,Kalawao County,81
3311,15,7,Hawaii,Kauai County,73840
3317,15,9,Hawaii,Maui County,163688
3323,16,1,Idaho,Ada County,535799
3329,16,3,Idaho,Adams County,4998
3335,16,5,Idaho,Bannock County,91010
3341,16,7,Idaho,Bear Lake County,6779
3347,16,9,Idaho,Benewah County,10529
3353,16,11,Idaho,Bingham County,50889
3359,16,13,Idaho,Blaine County,25261
3365,16,15,Idaho,Boise County,8581
3371,16,17,Idaho,Bonner County,53955
3377,16,19,Idaho,Bonneville County,133644
3383,16,21,Idaho,Boundary County,14040
3389,16,23,Idaho,Butte County,2735
3395,16,25,Idaho,Camas County,1247
3401,16,27,Idaho,Canyon County,266892
3407,16,29,Idaho,Caribou County,7239
3413,16,31,Idaho,Cassia County,25976
3419,16,33,Idaho,Clark County,794
3425,16,35,Idaho,Clearwater County,9151
3431,16,37,Idaho,Custer County,4597
3437,16,39,Idaho,Elmore County,29729
3443,16,41,Idaho,Franklin County,15638
3449,16,43,Idaho,Fremont County,14399
3455,16,45,Idaho,Gem County,21857
3461,16,47,Idaho,Gooding County,16189
3467,16,49,Idaho,Idaho County,17912
3473,16,51,Idaho,Jefferson County,34854
3479,16,53,Idaho,Jerome County,26056
3485,16,55,Idaho,Kootenai County,188323
3491,16,57,Idaho,Latah County,42180
3497,16,59,Idaho,Lemhi County,8397
3503,16,61,Idaho,Lewis County,3728
3509,16,63,Idaho,Lincoln County,5556
3515,16,65,Idaho,Madison County,55549
3521,16,67,Idaho,Minidoka County,22691
3527,16,69,Idaho,Nez Perce County,42847
3533,16,71,Idaho,Oneida County,4976
3539,16,73,Idaho,Owyhee County,12748
3545,16,75,Idaho,Payette County,27662
3551,16,77,Idaho,Power County,8381
3557,16,79,Idaho,Shoshone County,14074
3563,16,81,Idaho,Teton County,12932
3569,16,83,Idaho,Twin Falls County,96509
3575,16,85,Idaho,Valley County,12777
3581,16,87,Idaho,Washington County,11539
3587,17,1,Illinois,Adams County,64109
3593,17,3,Illinois,Alexander County,4594
3599,17,5,Illinois,Bond County,16576
3605,17,7,Illinois,Boone County,53313
3611,17,9,Illinois,Brown County,6307
3617,17,11,Illinois,Bureau County,32486
3623,17,13,Illinois,Calhoun County,4224
3629,17,15,Illinois,Carroll County,15444
3635,17,17,Illinois,Cass County,12713
3641,17,19,Illinois,Champaign County,212374
3647,17,21,Illinois,Christian County,33247
3653,17,23,Illinois,Clark County,15076
3659,17,25,Illinois,Clay County,12821
3665,17,27,Illinois,Clinton County,37087
